Sigle,Goupe_Bancaire,ANNEE,EMPLOI,BILAN,RESSOURCES,FONDS.PROPRE,EFFECTIF,AGENCE,COMPTE,INTERETS.ET.PRODUITS.ASSIMILES,NTERETS.ET.CHARGES.ASSIMILEES,REVENUS.DES.TITRES.A.REVENU.VARIABLE,COMMISSIONS.(PRODUITS),COMMISSIONS.(CHARGES),GAINS.OU.PERTES.NETS.SUR.OPERATIONS.DES.PORTEFEUILLES.DE.NEGOCIATION,GAINS.OU.PERTES.NETS.SUR.OPERATIONS.DES.PORTEFEUILLES.DE.PLACEMENT.ET.ASSIMILES,AUTRES.PRODUITS.D'EXPLOITATION.BANCAIRE,AUTRES.CHARGES.D'EXPLOITATION.BANCAIRE,PRODUIT.NET.BANCAIRE,SUBVENTIONS.D'INVESTISSEMENT,CHARGES.GENERALES.D'EXPLOITATION,DOTATIONS.AUX.AMORTISSEMENTS.ET.AUX.DEPRECIATIONS.DES.IMMOBILISATIONS.INCORPORELLES.ET.CORPORELLES,RESULTAT.BRUT.D'EXPLOITATION,COÛT.DU.RISQUE,RESULTAT.D'EXPLOITATION,GAINS.OU.PERTES.NETS.SUR.ACTIFS.IMMOBILISES,RESULTAT.AVANT.IMPÔT,IMPÔTS.SUR.LES.BENEFICES,RESULTAT.NET,source,CAISSE.BANQUE.CENTRALE.CCP,EFFETS.PUBLICS.ET.VALEURS.ASSIMILÉES,CRÉANCES.INTERBANCAIRES.ET.ASSIMILÉES,CRÉANCES.SUR.LA.CLIENTÈLE,OBLIGATIONS.ET.AUTRES.TITRES.À.REVENU.FIXE,ACTIONS.ET.AUTRES.TITRES.À.REVENU.VARIABLE,ACTIONNAIRES.OU.ASSOCIÉS,AUTRES.ACTIFS,COMPTES.DE.RÉGULARISATION,PARTICIPATIONS.ET.AUTRES.TITRES.DÉTENUS.À.LONG.TERME,PARTS.DANS.LES.ENTREPRISES.LIÉES,PRÊTS.SUBORDONNÉS,IMMOBILISATIONS.INCORPORELLES,IMMOBILISATIONS.CORPORELLES,BANQUE.CENTRALE.CCP,DETTES.INTERBANCAIRES.ET.ASSIMILÉES,DETTES.À.L.ÉGARD.DE.LA.CLIENTÈLE,DETTES.REPRÉSENTÉES.PAR.UN.TITRE,AUTRES.PASSIFS,PROVISIONS,EMPRUNTS.ET.TITRES.ÉMIS.SUBORDONNES,CAPITAUX.PROPRES.ET.RESSOURCES.ASSIMILÉES,CAPITAL.SOUSCRIT,PRIMES.LIÉES.AU.CAPITAL,RÉSERVES,ÉCARTS.DE.RÉÉVALUATION,PROVISIONS.RÉGLEMENTÉES,REPORT.À.NOUVEAU,RÉSULTAT.DE.LEXERCICE
BAS,Groupes Continentaux,2015,166775.0,297374.0,162739.0,10437.0,206.0,19.0,47494.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAS,Groupes Continentaux,2016,173612.0,318603.0,153838.0,4513.0,210.0,19.0,60651.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAS,Groupes Continentaux,2017,189376.0,341998.0,194008.0,10743.0,213.0,18.0,71197.0,12522.0,9823.0,0.0,4650.0,392.0,1412.0,4601.0,2068.0,1120.0,13918.0,0.0,8737.0,1079.0,4102.0,2369.0,1733.0,34.0,1767.0,5.0,1762.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAS,Groupes Continentaux,2018,224452.0,325682.0,159065.0,26261.0,228.0,10.0,58765.0,18825.0,8421.0,0.0,5484.0,1499.0,956.0,-92.0,373.0,0.0,15626.0,0.0,10897.0,814.0,3915.0,2377.0,1538.0,2.0,1540.0,5.0,1535.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAS,Groupes Continentaux,2019,247812.0,372383.0,189126.0,30994.0,236.0,21.0,73209.0,19823.0,8783.0,0.0,7165.0,1816.0,836.0,0.0,179.0,0.0,17404.0,0.0,11665.0,805.0,4934.0,199.0,4735.0,3.0,4738.0,5.0,4733.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAS,Groupes Continentaux,2020,276934.0,408458.0,204057.0,,236.0,21.0,99415.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCIM,Groupes Règionaux,2015,515.0,5869.0,3551.0,1891.0,25.0,1.0,248.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCIM,Groupes Règionaux,2016,707.0,179912.0,104255.0,100571.0,23.0,1.0,320.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCIM,Groupes Règionaux,2017,14325.0,35673.0,22239.0,5629.0,25.0,2.0,417.0,2215.0,995.0,,998.0,172.0,,,9.0,,2055.0,,1066.0,352.0,637.0,-75.0,712.0,,712.0,,712.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCIM,Groupes Règionaux,2018,13616.0,32353.0,17443.0,5731.0,26.0,2.0,463.0,2046.0,814.0,,575.0,63.0,,,8.0,,1752.0,,1250.0,338.0,164.0,-27.0,191.0,,191.0,,191.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCIM,Groupes Règionaux,2019,9911.0,25730.0,18088.0,5502.0,25.0,2.0,542.0,2021.0,764.0,,493.0,71.0,,,14.0,61.0,1632.0,,1186.0,368.0,78.0,116.0,-38.0,,-38.0,,-38.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCIM,Groupes Règionaux,2020,20653.0,47032.0,40710.0,,27.0,2.0,658.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDK,Groupes Règionaux,2015,865.0,51483.0,24257.0,13085.0,27.0,1.0,293.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDK,Groupes Règionaux,2016,4204.0,106763.0,51785.0,17648.0,43.0,1.0,424.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDK,Groupes Règionaux,2017,82551.0,164536.0,99922.0,18094.0,52.0,1.0,1197.0,4937.0,1875.0,,4412.0,170.0,751.0,501.0,6.0,23.0,8539.0,,5064.0,1632.0,1843.0,28.0,1815.0,28.0,1843.0,5.0,1838.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDK,Groupes Règionaux,2018,111325.0,179468.0,96326.0,20903.0,66.0,3.0,1666.0,10327.0,4019.0,,3054.0,151.0,454.0,207.0,5.0,14.0,9863.0,,6673.0,348.0,2842.0,34.0,2808.0,6.0,2814.0,5.0,2809.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDK,Groupes Règionaux,2019,99558.0,170663.0,98657.0,23242.0,115.0,7.0,5412.0,12840.0,5447.0,,2793.0,156.0,5.0,285.0,3.0,42.0,10281.0,,6809.0,466.0,3006.0,673.0,2333.0,11.0,2344.0,5.0,2339.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDK,Groupes Règionaux,2020,126336.0,208146.0,111097.0,,133.0,7.0,3367.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDK,Groupes Règionaux,2021,171288.0,,,27531.0,,,,15905.0,7347.0,0.0,4098.0,280.0,-80.0,752.0,283.0,63.0,13268.0,0.0,8572.0,1014.0,3682.0,7434.0,2.0,745.0,5.0,740.0,,bceao_pdf_2021,8541.0,88771.0,21471.0,171288.0,0.0,0.0,0.0,6056.0,1660.0,865.0,0.0,0.0,1163.0,3139.0,0.0,93503.0,174606.0,0.0,4264.0,13.0,0.0,27531.0,22000.0,0.0,269.0,0.0,0.0,1522.0,3740.0
